(238, 171, 41, 255)	27	142.86	1.36	142.23	143.59
(239, 173, 41, 255)	7	139.74	0.72	139.32	140.04
(239, 177, 46, 255)	1	137.08	0.0	137.08	137.08
(240, 181, 55, 255)	2	136.77	0.92	136.31	137.23
(240, 177, 47, 255)	1	136.69	0.0	136.69	136.69
(236, 166, 40, 255)	46	149.09	2.06	148.22	150.28
(239, 175, 45, 255)	1	138.0	0.0	138.0	138.0
(240, 176, 47, 255)	1	137.62	0.0	137.62	137.62
(236, 165, 40, 255)	76	150.23	2.35	149.22	151.57
(239, 174, 44, 255)	2	139.19	0.54	138.92	139.46
(240, 179, 54, 255)	1	138.16	0.0	138.16	138.16
(240, 175, 47, 255)	1	138.54	0.0	138.54	138.54
(240, 177, 51, 255)	1	139.46	0.0	139.46	139.46
(240, 178, 53, 255)	1	139.09	0.0	139.09	139.09
(235, 165, 39, 255)	26	151.06	1.45	150.27	151.72
(238, 170, 41, 255)	6	143.54	0.66	143.27	143.92
(239, 177, 50, 255)	1	140.39	0.0	140.39	140.39
(240, 178, 52, 255)	1	140.01	0.0	140.01	140.01
(238, 174, 44, 255)	1	140.39	0.0	140.39	140.39
(239, 175, 48, 255)	2	141.78	0.93	141.32	142.24
(239, 176, 50, 255)	2	141.41	0.93	140.94	141.87
(238, 173, 43, 255)	1	141.32	0.0	141.32	141.32
(235, 164, 39, 255)	61	152.4	2.23	151.21	153.44
(239, 180, 59, 255)	1	141.51	0.0	141.51	141.51
(235, 163, 39, 255)	34	153.15	1.97	152.07	154.04
(239, 173, 46, 255)	1	143.17	0.0	143.17	143.17
(239, 179, 58, 255)	1	142.44	0.0	142.44	142.44
(239, 175, 49, 255)	1	142.8	0.0	142.8	142.8
(238, 171, 42, 255)	1	143.17	0.0	143.17	143.17
(235, 162, 39, 255)	25	153.78	1.43	152.95	154.38
(238, 171, 44, 255)	1	144.1	0.0	144.1	144.1
(239, 176, 54, 255)	1	143.74	0.0	143.74	143.74
(239, 177, 56, 255)	1	143.38	0.0	143.38	143.38
(238, 173, 47, 255)	1	143.74	0.0	143.74	143.74
(234, 162, 39, 255)	10	153.89	0.96	153.39	154.35
(238, 175, 52, 255)	1	144.67	0.0	144.67	144.67
(238, 176, 54, 255)	1	144.31	0.0	144.31	144.31
(237, 172, 45, 255)	1	144.67	0.0	144.67	144.67
(237, 167, 40, 255)	3	148.47	0.52	148.25	148.76
(238, 173, 50, 255)	1	145.6	0.0	145.6	145.6
(238, 174, 52, 255)	1	145.25	0.0	145.25	145.25
(237, 170, 43, 255)	1	145.6	0.0	145.6	145.6
(234, 161, 39, 255)	68	155.36	2.61	153.94	156.54
(237, 170, 46, 255)	1	146.54	0.0	146.54	146.54
(239, 176, 59, 255)	1	145.84	0.0	145.84	145.84
(238, 172, 49, 255)	1	146.18	0.0	146.18	146.18
(237, 168, 41, 255)	3	147.47	1.87	146.54	148.41
(234, 161, 38, 255)	14	156.0	0.76	155.63	156.39
(237, 169, 43, 255)	1	147.47	0.0	147.47	147.47
(238, 174, 54, 255)	1	147.12	0.0	147.12	147.12
(239, 175, 56, 255)	1	146.78	0.0	146.78	146.78
(237, 171, 47, 255)	1	147.12	0.0	147.12	147.12
(236, 164, 40, 255)	10	151.57	0.76	151.16	151.92
(238, 173, 52, 255)	1	148.06	0.0	148.06	148.06
(239, 178, 63, 255)	1	147.38	0.0	147.38	147.38
(239, 175, 54, 255)	1	147.72	0.0	147.72	147.72
(237, 169, 45, 255)	1	148.06	0.0	148.06	148.06
(234, 160, 38, 255)	34	157.15	2.07	156.08	158.15
(236, 170, 48, 255)	1	149.0	0.0	149.0	149.0
(238, 176, 60, 255)	1	148.33	0.0	148.33	148.33
(237, 172, 50, 255)	1	148.66	0.0	148.66	148.66
(236, 167, 42, 255)	1	149.0	0.0	149.0	149.0
(233, 159, 38, 255)	32	158.42	2.35	156.98	159.33
(236, 168, 45, 255)	1	149.94	0.0	149.94	149.94
(238, 174, 56, 255)	1	149.6	0.0	149.6	149.6
(238, 174, 57, 255)	1	149.27	0.0	149.27	149.27
(237, 169, 47, 255)	1	149.6	0.0	149.6	149.6
(236, 166, 41, 255)	1	149.94	0.0	149.94	149.94
(234, 159, 38, 255)	27	157.89	1.74	157.01	158.76
(235, 161, 39, 255)	15	154.86	1.27	154.31	155.59
(236, 166, 42, 255)	1	150.88	0.0	150.88	150.88
(238, 171, 52, 255)	1	150.55	0.0	150.55	150.55
(237, 172, 54, 255)	1	150.22	0.0	150.22	150.22
(237, 167, 44, 255)	1	150.55	0.0	150.55	150.55
(233, 158, 38, 255)	13	158.86	1.46	157.92	159.38
(237, 168, 48, 255)	1	151.49	0.0	151.49	151.49
(238, 173, 59, 255)	1	151.16	0.0	151.16	151.16
(238, 175, 61, 255)	1	150.84	0.0	150.84	150.84
(237, 169, 50, 255)	1	151.16	0.0	151.16	151.16
(236, 165, 42, 255)	2	151.96	0.94	151.49	152.43
(237, 171, 54, 255)	2	152.74	1.27	152.11	153.38
(237, 171, 56, 255)	1	151.79	0.0	151.79	151.79
(237, 166, 46, 255)	1	152.11	0.0	152.11	152.11
(235, 164, 40, 255)	1	152.43	0.0	152.43	152.43
(236, 168, 47, 255)	1	153.06	0.0	153.06	153.06
(238, 173, 60, 255)	1	152.43	0.0	152.43	152.43
(236, 169, 50, 255)	1	152.74	0.0	152.74	152.74
(235, 165, 41, 255)	1	153.06	0.0	153.06	153.06
(234, 157, 38, 255)	26	160.91	1.79	159.82	161.61
(234, 158, 38, 255)	56	160.01	2.11	159.01	161.12
(234, 160, 39, 255)	12	156.86	1.48	156.37	157.85
(235, 164, 42, 255)	1	154.0	0.0	154.0	154.0
(236, 170, 54, 255)	1	153.69	0.0	153.69	153.69
(237, 176, 65, 255)	1	153.08	0.0	153.08	153.08
(235, 167, 45, 255)	1	153.69	0.0	153.69	153.69
(233, 157, 38, 255)	10	161.34	0.87	160.73	161.6
(235, 162, 40, 255)	1	154.95	0.0	154.95	154.95
(236, 166, 48, 255)	1	154.64	0.0	154.64	154.64
(237, 173, 60, 255)	1	154.03	0.0	154.03	154.03
(236, 167, 49, 255)	1	154.33	0.0	154.33	154.33
(235, 163, 41, 255)	1	154.64	0.0	154.64	154.64
(235, 163, 43, 255)	2	156.72	2.26	155.59	157.85
(236, 168, 54, 255)	1	155.28	0.0	155.28	155.28
(237, 175, 65, 255)	1	154.69	0.0	154.69	154.69
(237, 169, 55, 255)	1	154.98	0.0	154.98	154.98
(235, 164, 44, 255)	1	155.28	0.0	155.28	155.28
(233, 156, 37, 255)	17	162.21	1.4	161.64	163.05
(235, 165, 47, 255)	1	156.24	0.0	156.24	156.24
(236, 171, 59, 255)	1	155.94	0.0	155.94	155.94
(237, 171, 59, 255)	1	155.65	0.0	155.65	155.65
(235, 166, 49, 255)	1	155.94	0.0	155.94	155.94
(234, 161, 40, 255)	1	156.24	0.0	156.24	156.24
(233, 155, 37, 255)	18	162.78	2.03	161.93	163.95
(234, 161, 41, 255)	1	157.19	0.0	157.19	157.19
(235, 167, 52, 255)	1	156.89	0.0	156.89	156.89
(237, 173, 65, 255)	1	156.32	0.0	156.32	156.32
(235, 167, 53, 255)	1	156.6	0.0	156.6	156.6
(234, 162, 44, 255)	1	156.89	0.0	156.89	156.89
(233, 155, 36, 255)	44	163.47	2.22	162.25	164.47
(233, 156, 38, 255)	6	162.01	1.83	161.4	163.23
(236, 169, 57, 255)	2	157.42	0.28	157.28	157.56
(238, 175, 69, 255)	1	157.0	0.0	157.0	157.0
(235, 164, 46, 255)	1	157.56	0.0	157.56	157.56
(232, 155, 36, 255)	3	164.05	1.36	163.41	164.77
(234, 158, 39, 255)	1	158.81	0.0	158.81	158.81
(235, 164, 48, 255)	1	158.52	0.0	158.52	158.52
(237, 171, 63, 255)	1	158.24	0.0	158.24	158.24
(237, 177, 73, 255)	1	157.7	0.0	157.7	157.7
(236, 172, 63, 255)	1	157.97	0.0	157.97	157.97
(235, 165, 50, 255)	1	158.24	0.0	158.24	158.24
(234, 160, 41, 255)	2	159.0	0.96	158.52	159.48
(236, 166, 54, 255)	1	159.2	0.0	159.2	159.2
(237, 173, 67, 255)	1	158.66	0.0	158.66	158.66
(236, 168, 56, 255)	1	158.93	0.0	158.93	158.93
(235, 161, 44, 255)	1	159.2	0.0	159.2	159.2
(232, 154, 36, 255)	26	165.37	2.26	164.14	166.4
(234, 156, 38, 255)	3	161.94	0.27	161.82	162.09
(235, 161, 45, 255)	1	160.16	0.0	160.16	160.16
(236, 168, 58, 255)	1	159.89	0.0	159.89	159.89
(238, 174, 70, 255)	1	159.36	0.0	159.36	159.36
(236, 169, 59, 255)	2	160.11	0.96	159.62	160.59
(235, 163, 48, 255)	1	159.89	0.0	159.89	159.89
(234, 159, 40, 255)	1	160.16	0.0	160.16	160.16
(234, 156, 37, 255)	4	162.27	1.1	161.68	162.78
(235, 162, 46, 255)	1	160.85	0.0	160.85	160.85
(237, 173, 70, 255)	1	160.08	0.0	160.08	160.08
(236, 168, 60, 255)	1	160.33	0.0	160.33	160.33
(235, 164, 49, 255)	1	160.59	0.0	160.59	160.59
(234, 159, 41, 255)	2	161.2	0.7	160.85	161.55
(232, 153, 36, 255)	33	166.22	2.06	165.08	167.15
(234, 157, 39, 255)	2	162.17	0.7	161.82	162.52
(235, 162, 48, 255)	1	161.55	0.0	161.55	161.55
(237, 169, 60, 255)	1	161.3	0.0	161.3	161.3
(237, 174, 71, 255)	1	160.8	0.0	160.8	160.8
(236, 169, 61, 255)	1	161.05	0.0	161.05	161.05
(236, 164, 51, 255)	2	161.66	0.72	161.3	162.02
(233, 154, 36, 255)	18	164.86	1.39	164.28	165.68
(235, 162, 49, 255)	1	162.27	0.0	162.27	162.27
(237, 168, 61, 255)	1	162.02	0.0	162.02	162.02
(238, 174, 71, 255)	1	161.53	0.0	161.53	161.53
(236, 169, 62, 255)	3	162.59	1.48	161.77	163.25
(235, 158, 42, 255)	1	162.27	0.0	162.27	162.27
(234, 157, 40, 255)	1	163.23	0.0	163.23	163.23
(235, 162, 50, 255)	1	162.98	0.0	162.98	162.98
(237, 169, 62, 255)	1	162.51	0.0	162.51	162.51
(235, 164, 52, 255)	2	163.11	0.74	162.74	163.48
(234, 158, 43, 255)	1	162.98	0.0	162.98	162.98
(232, 152, 36, 255)	31	167.78	2.15	166.9	169.06
(233, 157, 40, 255)	1	163.95	0.0	163.95	163.95
(234, 162, 51, 255)	1	163.71	0.0	163.71	163.71
(236, 168, 62, 255)	1	163.48	0.0	163.48	163.48
(237, 173, 72, 255)	1	163.02	0.0	163.02	163.02
(233, 158, 42, 255)	1	163.71	0.0	163.71	163.71
(232, 151, 36, 255)	26	169.09	4.35	167.33	171.69
(233, 155, 39, 255)	1	164.68	0.0	164.68	164.68
(235, 160, 48, 255)	1	164.45	0.0	164.45	164.45
(236, 167, 61, 255)	2	164.11	0.22	164.0	164.22
(237, 172, 70, 255)	1	163.78	0.0	163.78	163.78
(235, 162, 51, 255)	1	164.22	0.0	164.22	164.22
(234, 157, 41, 255)	1	164.45	0.0	164.45	164.45
(232, 151, 35, 255)	23	169.66	3.14	168.0	171.14
(233, 155, 38, 255)	1	165.42	0.0	165.42	165.42
(234, 159, 47, 255)	1	165.2	0.0	165.2	165.2
(235, 165, 58, 255)	1	164.98	0.0	164.98	164.98
(236, 170, 69, 255)	2	165.04	0.57	164.76	165.33
(237, 172, 71, 255)	1	164.55	0.0	164.55	164.55
(235, 166, 60, 255)	1	164.76	0.0	164.76	164.76
(234, 161, 50, 255)	1	164.98	0.0	164.98	164.98
(233, 156, 41, 255)	1	165.2	0.0	165.2	165.2
(233, 154, 37, 255)	1	165.42	0.0	165.42	165.42
(232, 154, 37, 255)	1	166.17	0.0	166.17	166.17
(234, 159, 45, 255)	1	165.95	0.0	165.95	165.95
